Simulation created and run on: 
Thu Jan 12 08:55:04 2023


Time (s), Height (m), Velocity (m/s), Acceleration (m/s^2), Deployment Angle (degrees)
11.7209, 2718.36, 83.3634, -11.1917, 47.8
11.8212, 2726.66, 82.2434, -11.1528, 47.8
11.9215, 2734.86, 81.1257, -11.1147, 47.8
12.0221, 2742.96, 80.0102, -11.0772, 47.8
12.1221, 2750.91, 78.9036, -11.0406, 47.8
12.2223, 2758.76, 77.7992, -11.0047, 47.8
12.3227, 2766.51, 76.6969, -10.9695, 47.8
12.4231, 2774.16, 75.5966, -10.9349, 47.8
12.5237, 2781.71, 74.4981, -10.9009, 47.8
12.6238, 2789.11, 73.409, -10.8678, 47.8
12.724, 2796.41, 72.3218, -10.8353, 47.8
12.8243, 2803.61, 71.2365, -10.8034, 47.8
12.9248, 2810.71, 70.153, -10.7722, 47.8
13.0253, 2817.71, 69.0713, -10.7415, 47.8
13.126, 2824.61, 67.9912, -10.7114, 47.8
13.2261, 2831.36, 66.9208, -10.6821, 47.8
13.3263, 2838.01, 65.8522, -10.6533, 47.8
13.4265, 2844.56, 64.7852, -10.6252, 47.8
13.5269, 2851.01, 63.7199, -10.5976, 47.8
13.6274, 2857.36, 62.6563, -10.5705, 47.8
13.728, 2863.61, 61.5941, -10.544, 47.8
13.8288, 2869.76, 60.5334, -10.5181, 47.8
13.9296, 2875.81, 59.4741, -10.4926, 47.8
14.0297, 2881.71, 58.4251, -10.4679, 47.8
14.1299, 2887.51, 57.3777, -10.4437, 47.8
14.2301, 2893.21, 56.3318, -10.4201, 47.8
14.3305, 2898.81, 55.2873, -10.3969, 47.8
14.4309, 2904.31, 54.2442, -10.3743, 47.8
14.5315, 2909.71, 53.2025, -10.3521, 47.8
14.6321, 2915.01, 52.162, -10.3304, 47.8
14.7328, 2920.21, 51.1228, -10.3092, 47.8
14.8336, 2925.31, 50.0848, -10.2885, 47.8
14.9344, 2930.31, 49.0478, -10.2683, 47.8
15.0354, 2935.21, 48.012, -10.2486, 47.8
15.1354, 2939.96, 46.9879, -10.2295, 47.8
15.2355, 2944.61, 45.9653, -10.2109, 47.8
15.3356, 2949.16, 44.944, -10.1927, 47.8
15.4358, 2953.61, 43.924, -10.175, 47.8
15.536, 2957.96, 42.9052, -10.1577, 47.8
15.6362, 2962.21, 41.8877, -10.1409, 47.8
15.7365, 2966.36, 40.8713, -10.1245, 47.8
15.8369, 2970.41, 39.8561, -10.1086, 47.8
15.9373, 2974.36, 38.842, -10.093, 47.8
16.0378, 2978.21, 37.8289, -10.0779, 47.8
16.1382, 2981.96, 36.8169, -10.0633, 47.8
16.2388, 2985.61, 35.8059, -10.049, 47.8
16.3394, 2989.16, 34.7958, -10.0352, 47.8
16.44, 2992.61, 33.7867, -10.0218, 47.8
16.5407, 2995.96, 32.7784, -10.0088, 47.8
16.6414, 2999.21, 31.7709, -9.99614, 47.8
16.7422, 3002.36, 30.7643, -9.98392, 47.8
16.843, 3005.41, 29.7583, -9.97209, 47.8
16.9438, 3008.36, 28.7531, -9.96066, 47.8
17.0448, 3011.21, 27.7485, -9.9496, 47.8
17.1457, 3013.96, 26.7445, -9.93893, 47.8
17.2467, 3016.61, 25.741, -9.92862, 47.8
17.3478, 3019.16, 24.738, -9.91868, 47.8
17.4489, 3021.61, 23.7355, -9.90909, 47.8
17.5501, 3023.96, 22.7332, -9.89986, 47.8
17.6514, 3026.21, 21.7313, -9.89095, 47.8
17.7527, 3028.36, 20.7295, -9.88238, 47.8
17.8541, 3030.41, 19.7278, -9.87411, 47.8
17.9556, 3032.36, 18.7262, -9.86613, 47.8
18.0572, 3034.21, 17.7243, -9.85842, 47.8
18.1589, 3035.96, 16.7222, -9.85094, 47.8
18.2607, 3037.61, 15.7196, -9.84366, 47.8
18.3627, 3039.16, 14.7163, -9.83652, 47.8
18.4648, 3040.61, 13.712, -9.82945, 47.8
18.5671, 3041.96, 12.7064, -9.82234, 47.8
18.6697, 3043.21, 11.6989, -9.81504, 47.8
18.7727, 3044.36, 10.689, -9.80732, 47.8
18.8761, 3045.41, 9.67572, -9.79884, 47.8
18.98, 3046.36, 8.65775, -9.789, 47.8
19.0847, 3047.21, 7.63307, -9.7768, 47.8
19.1907, 3047.96, 6.59843, -9.76034, 47.8
19.2984, 3048.61, 5.5481, -9.73565, 47.8
19.4093, 3049.16, 4.47088, -9.69309, 47.8
19.5115, 3049.56, 3.48438, -9.61861, 47.8
19.6146, 3049.86, 2.50117, -9.45106, 47.8
19.7207, 3050.06, 1.52736, -8.94903, 47.8
19.8457, 3050.16, 0.609448, -6.74486, 47.8
